,pmid,start,end,tag,text,source,correct,error_type,annotator
41,527347,610,611,Quantitative Measurement,1,human,y,,eduvaris
42,527347,616,629,Outcome (Study Endpoint),no protection,human,y,,eduvaris
43,527347,633,634,Quantitative Measurement,3,human,y,,eduvaris
44,527347,697,715,Outcome (Study Endpoint),protective effects,human,y,,eduvaris
45,527347,791,795,Outcome (Study Endpoint),FEV1,human,y,,eduvaris
46,527347,813,822,Outcome (Study Endpoint),FEF25-75%,human,y,,eduvaris
47,527347,825,832,Group Name,Placebo,human,y,,eduvaris
48,527347,869,875,Disease/Condition of Interest,asthma,human,n,,eduvaris
49,779588,61,73,Drug Intervention,Debrisoquine,model,y,,stan
50,779588,120,130,Drug Intervention,methyldopa,model,y,,stan
51,779588,354,363,Intervention Duration,two weeks,model,n,wrong label,stan
52,779588,470,475,Intervention Frequency,daily,human,y,,stan
53,779588,545,564,Drug Intervention,Hydrochlorothiazide,human,n,wrong label,stan
54,779588,733,745,Drug Intervention,debrisoquine,model,y,,stan
55,779588,789,799,Drug Intervention,methyldopa,model,y,,stan
56,779588,958,970,Drug Intervention,Debrisoquine,model,y,,stan
57,779588,985,993,Side Effects,sedation,model,y,,stan
58,779588,998,1007,Side Effects,dizziness,model,y,,stan
59,779588,1013,1023,Drug Intervention,methyldopa,model,y,,stan
60,1366257,47,73,Disease/Condition of Interest,mild-moderate hypertension,human,y,,cjackson
61,1366257,61,73,Disease/Condition of Interest,hypertension,model,n,too little,cjackson
62,1366257,505,514,Intervention Duration,four-week,model,y,,cjackson
63,1366257,570,579,Drug Intervention,enalapril,model,y,,cjackson
64,1366257,596,599,Drug Intervention,lis,model,n,too little,cjackson
65,1366257,632,633,Intervention Duration,4,human,n,too little,cjackson
66,1366257,632,638,Intervention Duration,4-week,model,y,,cjackson
67,1366257,669,676,Drug Intervention,placebo,model,n,wrong label,cjackson
68,1366257,678,689,Sample Size,Fifty-eight,model,n,not needed,cjackson
69,1366257,782,797,Outcome (Study Endpoint),Blood pressures,model,y,,cjackson
70,1366257,820,827,Quantitative Measurement,161/108,model,y,,cjackson
71,1366257,832,839,Quantitative Measurement,164/106,model,y,,cjackson
72,1366257,907,909,Outcome (Study Endpoint),LV,model,n,too little,cjackson
73,1366257,913,916,Quantitative Measurement,9.5,model,y,,cjackson
74,1366257,936,938,Units,mm,model,y,,cjackson
75,1366257,944,948,Outcome (Study Endpoint),IVSd,model,y,,cjackson
76,1366257,949,953,Quantitative Measurement,10.3,model,y,,cjackson
77,1366257,954,956,Units,mm,model,y,,cjackson
78,1366257,976,978,Units,mm,model,y,,cjackson
79,1366257,1148,1169,Outcome (Study Endpoint),blood pressure levels,model,y,,cjackson
80,1366257,1148,1200,Outcome (Study Endpoint),blood pressure levels during the early morning hours,human,n,too much,cjackson
81,1366257,1283,1295,Outcome (Study Endpoint),ACE activity,model,y,,cjackson
82,1366257,1283,1319,Outcome (Study Endpoint),ACE activity in serum 24 h post-dose,human,n,too much,cjackson
83,1366257,1379,1381,Type of Quant. Measure,SD,human,y,,cjackson
84,1366257,1382,1383,Quantitative Measurement,3,model,n,too little,cjackson
85,1366257,1382,1385,Quantitative Measurement,3.3,human,y,,cjackson
86,1366257,1425,1427,Type of Quant. Measure,SD,human,y,,cjackson
87,1366257,1463,1470,Drug Intervention,placebo,model,n,wrong label,cjackson
88,1366257,1482,1484,Type of Quant. Measure,SD,human,y,,cjackson
89,1366257,1500,1502,Type of Quant. Measure,SD,human,y,,cjackson
90,1703608,72,91,Drug Intervention,hydrochlorothiazide,model,n,wrong label,hcho
91,1703608,110,141,Disease/Condition of Interest,moderate to severe hypertension,model,n,too much,hcho
92,1703608,223,235,Disease/Condition of Interest,hypertension,human,y,,hcho
93,1703608,338,339,Group Name,D,model,n,,hcho
94,1703608,356,357,Group Name,C,model,n,,hcho
95,1703608,395,426,Outcome (Study Endpoint),supine diastolic blood pressure,model,y,,hcho
96,1703608,439,446,Quantitative Measurement,105-140,model,y,,hcho
97,1703608,447,452,Units,mm Hg,model,y,,hcho
98,1703608,456,475,Drug Intervention,hydrochlorothiazide,model,n,wrong label,hcho
99,1703608,504,511,Drug Intervention,placebo,model,n,wrong label,hcho
100,1703608,564,570,Sample Size,n = 29,human,n,too much,hcho
101,1703608,568,570,Sample Size,29,model,y,,hcho
102,1703608,585,591,Sample Size,n = 32,human,n,too much,hcho
103,1703608,589,591,Sample Size,32,model,y,,hcho
104,1703608,691,722,Group Characteristic,SuDBP was greater than 99 mm Hg,human,y,,hcho
105,1703608,724,735,Drug Intervention,hydralazine,model,y,,hcho
106,1703608,857,864,Intervention Duration,3-month,model,n,wrong label,hcho
107,1703608,983,987,Type of Quant. Measure,mean,human,n,too little,hcho
108,1703608,992,995,Type of Quant. Measure,SEM,human,n,too little,hcho
109,1703608,1028,1036,Group Name,D + HCTZ,human,n,wrong label,hcho
110,1703608,1038,1047,Quantitative Measurement,182 +/- 3,human,y,,hcho
111,1703608,1038,1057,Quantitative Measurement,182 +/- 3/112 +/- 1,model,n,not needed,hcho
112,1703608,1048,1057,Quantitative Measurement,112 +/- 1,human,y,,hcho
113,1703608,1059,1067,Group Name,C + HCTZ,human,n,wrong label,hcho
114,1703608,1069,1078,Quantitative Measurement,179 +/- 4,human,y,,hcho
115,1703608,1069,1088,Quantitative Measurement,179 +/- 4/113 +/- 1,model,n,not needed,hcho
116,1703608,1079,1088,Quantitative Measurement,113 +/- 1,human,y,,hcho
117,1703608,1126,1134,Group Name,D + HCTZ,human,n,wrong label,hcho
118,1703608,1136,1145,Quantitative Measurement,175 +/- 3,human,y,,hcho
119,1703608,1136,1155,Quantitative Measurement,175 +/- 3/114 +/- 2,model,n,not needed,hcho
120,1703608,1146,1155,Quantitative Measurement,114 +/- 2,human,y,,hcho
121,1703608,1169,1178,Quantitative Measurement,173 +/- 4,human,y,,hcho
122,1703608,1169,1188,Quantitative Measurement,173 +/- 4/113 +/- 1,model,n,not needed,hcho
123,1703608,1179,1188,Quantitative Measurement,113 +/- 1,human,y,,hcho
124,1777653,67,74,Group Characteristic,healthy,human,y,,ccurtis
125,1777653,79,109,Disease/Condition of Interest,non-insulin dependent diabetic,model,n,too much,ccurtis
126,1777653,101,109,Disease/Condition of Interest,diabetic,human,y,,ccurtis
127,1777653,375,396,Group Characteristic,non-insulin-dependent,human,y,,ccurtis
128,1777653,375,405,Group Characteristic,non-insulin-dependent diabetic,model,n,,ccurtis
129,1777653,397,405,Disease/Condition of Interest,diabetic,human,y,,ccurtis
130,1777653,629,636,Group Characteristic,healthy,human,y,,ccurtis
131,1777653,661,667,Units,mmol/l,model,y,,ccurtis
132,1777653,745,746,Dosage,5,model,y,,ccurtis
133,1777653,745,749,Dosage,5 mg,human,n,too much,ccurtis
134,1777653,747,749,Units,mg,model,y,,ccurtis
135,1777653,949,958,Drug Intervention,glipizide,human,y,,ccurtis
136,1777653,1051,1079,Outcome (Study Endpoint),plasma glucose concentration,human,y,,ccurtis
137,1777653,1086,1088,Quantitative Measurement,10,human,y,,ccurtis
138,1777653,1089,1095,Units,mmol/l,human,y,,ccurtis
139,1777653,1131,1140,Drug Intervention,Glipizide,human,y,,ccurtis
140,1777653,1402,1411,Drug Intervention,Glipizide,human,y,,ccurtis
141,1777653,1432,1455,Outcome (Study Endpoint),plasma insulin response,human,y,,ccurtis
142,1777653,1459,1462,Quantitative Measurement,180,human,y,,ccurtis
143,1777653,1463,1469,Units,pmol/l,human,y,,ccurtis
144,1777653,1527,1536,Drug Intervention,glipizide,human,y,,ccurtis
145,1777653,1595,1604,Drug Intervention,glipizide,human,y,,ccurtis
146,1777653,1790,1799,Drug Intervention,glipizide,human,y,,ccurtis
147,1886581,78,110,Disease/Condition of Interest,cadaveric kidney transplantation,model,y,wrong label,eduvaris
148,1886581,118,145,Study Years,November 1985 to March 1990,model,y,,eduvaris
149,1886581,150,178,Group Characteristic,cadaveric kidney transplants,model,n,wrong label,eduvaris
150,1886581,200,220,Non-Study Drug,cyclosporine therapy,model,n,too much,eduvaris
151,1886581,320,331,Non-Pharmaceutical Intervention,EC solution,human,n,wrong label,eduvaris
152,1886581,342,348,Sample Size,n = 27,human,n,too much,eduvaris
153,1886581,346,348,Sample Size,27,model,y,,eduvaris
154,1886581,353,364,Non-Pharmaceutical Intervention,UW solution,human,n,wrong label,eduvaris
155,1886581,376,382,Sample Size,n = 28,human,n,too much,eduvaris
156,1886581,380,382,Sample Size,28,model,y,,eduvaris
157,1886581,426,428,Group Name,II,model,n,too little,eduvaris
158,1886581,569,616,Outcome (Study Endpoint),Mean numbers of days for postoperative dialysis,model,n,multiple entities,eduvaris
159,1886581,594,616,Outcome (Study Endpoint),postoperative dialysis,human,n,too little,eduvaris
160,1886581,638,645,Group Name,group I,human,y,,eduvaris
161,1886581,665,673,Group Name,group II,human,y,,eduvaris
162,1886581,694,703,Intervention Duration,One-month,human,n,wrong label,eduvaris
163,1886581,694,714,Outcome (Study Endpoint),One-month creatinine,model,y,,eduvaris
164,1886581,742,749,Group Name,group I,human,y,,eduvaris
165,1886581,770,778,Group Name,group II,human,y,,eduvaris
166,1886581,785,810,Outcome (Study Endpoint),One-month graft survivals,model,y,,eduvaris
167,1886581,795,810,Outcome (Study Endpoint),graft survivals,human,n,too little,eduvaris
168,2047947,286,298,Sample Size,Twenty-three,model,y,,stan
169,2047947,305,315,Group Characteristic,asthmatics,model,y,,stan
170,2047947,952,956,Outcome (Study Endpoint),PEFR,model,y,,stan
171,2047947,958,961,Outcome (Study Endpoint),FVC,model,y,,stan
172,2047947,966,970,Outcome (Study Endpoint),FVC1,model,y,,stan
173,2047947,1097,1119,Outcome (Study Endpoint),decrease in protection,model,y,,stan
174,2047947,1145,1152,Intervention Duration,8 weeks,model,n,,stan
175,2047947,1173,1188,Group Name,high-dose group,human,y,,stan
176,2178384,11,20,Drug Intervention,captopril,model,y,,cjackson
177,2178384,28,37,Drug Intervention,milrinone,model,y,,cjackson
178,2178384,480,487,Drug Intervention,placebo,human,n,wrong label,cjackson
179,2178384,558,564,Group Characteristic,stable,model,n,not needed,cjackson
180,2178384,566,590,Group Characteristic,congestive heart failure,model,n,wrong label,cjackson
181,2178384,993,1000,Group Name,placebo,model,y,,cjackson
182,2252527,198,222,Disease/Condition of Interest,Type I diabetes mellitus,model,y,,hcho
183,2252527,198,229,Disease/Condition of Interest,Type I diabetes mellitus (IDDM),human,n,too much,hcho
184,2252527,224,228,Disease/Condition of Interest,IDDM,model,y,,hcho
185,2252527,263,282,Group Characteristic,aged 24 +/- 6 years,model,y,,hcho
186,2252527,268,282,Group Characteristic,24 +/- 6 years,human,n,too little,hcho
187,2252527,449,452,Group Name,(A),human,n,too much,hcho
188,2252527,450,451,Group Name,A,model,y,,hcho
189,2252527,468,470,Units,mg,model,y,,hcho
190,2252527,468,471,Units,mg/,human,n,too much,hcho
191,2252527,481,493,Drug Intervention,indomethacin,model,y,,hcho
192,2252527,499,501,Units,mg,model,y,,hcho
193,2252527,499,502,Units,mg/,human,n,too much,hcho
194,2252527,512,519,Group Name,placebo,model,y,,hcho
195,2252527,791,801,Drug Intervention,prednisone,human,y,,hcho
196,2252527,822,847,Outcome (Study Endpoint),lower insulin requirement,model,n,too much,hcho
197,2252527,828,847,Outcome (Study Endpoint),insulin requirement,human,y,,hcho
198,2252527,868,878,Drug Intervention,prednisone,human,y,,hcho
199,2252527,868,884,Group Name,prednisone group,model,y,,hcho
200,2252527,879,884,Group Name,group,human,n,too little,hcho
201,2252527,1187,1197,Drug Intervention,prednisone,human,y,,hcho
202,2252527,1187,1203,Group Name,prednisone group,model,y,,hcho
203,2252527,1198,1203,Group Name,group,human,n,too little,hcho
204,2252527,1280,1356,Side Effects,ANOVA confirmed differences among the three groups. Our study indicates that,human,n,wrong label,hcho
205,2252527,1357,1367,Drug Intervention,prednisone,human,y,,hcho
206,2252527,1368,1478,Side Effects,"administration, at low doses and for a long period of time, effectively restored endogenous insulin release in",human,n,wrong label,hcho
207,2252527,1479,1483,Disease/Condition of Interest,IDDM,human,y,,hcho
208,2252527,1484,1492,Side Effects,patients,human,n,wrong label,hcho
209,2308471,253,256,Drug Intervention,MPH,human,y,,ccurtis
210,2308471,296,322,Disease/Condition of Interest,Attention Deficit Disorder,human,y,,ccurtis
211,2308471,324,327,Disease/Condition of Interest,ADD,human,y,,ccurtis
212,2308471,375,378,Drug Intervention,MPH,human,y,,ccurtis
213,2308471,908,926,Outcome (Study Endpoint),Prolactin response,model,y,,ccurtis
214,2308471,918,926,Outcome (Study Endpoint),response,human,n,too little,ccurtis
215,2308471,942,948,Outcome (Study Endpoint),AUCPro,human,n,wrong label,ccurtis
216,2308471,1008,1009,Type of Quant. Measure,t,model,n,wrong label,ccurtis
217,2308471,1242,1261,Type of Quant. Measure,Fisher's exact test,model,n,,ccurtis
218,2308471,1353,1388,Outcome (Study Endpoint),improvement in reaction time on the,model,n,,ccurtis
219,2308471,1401,1412,Outcome (Study Endpoint),GH response,model,y,,ccurtis
220,2308471,1421,1422,Type of Quant. Measure,r,model,n,wrong label,ccurtis
221,2308471,1455,1473,Outcome (Study Endpoint),prolactin response,model,y,,ccurtis
222,2308471,1521,1545,Outcome (Study Endpoint),improvement in attention,model,n,too much,ccurtis
223,2376254,131,142,Drug Intervention,terbutaline,model,y,,eduvaris
224,2376254,148,158,Units,micrograms,model,n,too little,eduvaris
225,2376254,148,163,Units,micrograms.puff,human,y,,eduvaris
226,2376254,165,172,Intervention Administration,inhaled,human,y,,eduvaris
227,2376254,195,205,Drug Intervention,salbutamol,model,y,,eduvaris
228,2376254,211,221,Units,micrograms,model,n,too little,eduvaris
229,2376254,211,226,Units,micrograms.puff,human,y,,eduvaris
230,2376254,228,235,Intervention Administration,inhaled,human,y,,eduvaris
231,2376254,291,329,Disease/Condition of Interest,reversible obstructive airways disease,human,y,wrong label,eduvaris
232,2376254,367,387,Group Name,salbutamol/Volumatic,human,y,,eduvaris
233,2376254,454,475,Group Name,terbutaline/Nebuhaler,human,y,,eduvaris
234,2376254,477,480,Quantitative Measurement,one,human,y,,eduvaris
235,2376254,481,485,Units,puff,human,y,,eduvaris
236,2376254,506,511,Quantitative Measurement,eight,human,y,,eduvaris
237,2407872,17,26,Drug Intervention,diltiazem,model,y,,stan
238,2407872,31,50,Drug Intervention,hydrochlorothiazide,model,y,,stan
239,2407872,54,66,Disease/Condition of Interest,hypertension,model,y,,stan
240,2407872,267,323,Drug Intervention,slow-release (SR) formulation of diltiazem hydrochloride,human,n,too much,stan
241,2407872,300,323,Drug Intervention,diltiazem hydrochloride,model,y,,stan
242,2407872,359,378,Drug Intervention,hydrochlorothiazide,model,y,,stan
243,2407872,413,425,Disease/Condition of Interest,hypertension,model,y,,stan
244,2407872,471,474,Sample Size,297,model,y,,stan
245,2407872,547,556,Drug Intervention,diltiazem,model,y,,stan
246,2407872,547,559,Drug Intervention,diltiazem SR,human,n,too little or too much based on context,stan
247,2407872,589,608,Drug Intervention,hydrochlorothiazide,model,y,,stan
248,2407872,609,620,Group Name,monotherapy,model,n,wrong label,stan
249,2407872,658,667,Drug Intervention,diltiazem,model,y,,stan
250,2407872,658,670,Drug Intervention,diltiazem SR,human,n,too little or too much based on context,stan
251,2407872,675,694,Drug Intervention,hydrochlorothiazide,model,y,,stan
252,2407872,699,706,Intervention Duration,6 weeks,model,y,,stan
253,2407872,885,896,Group Name,combination,human,n,too little,stan
254,2407872,885,904,Group Name,combination therapy,model,y,,stan
255,2407872,948,957,Outcome (Study Endpoint),diastolic,model,y,,stan
256,2407872,972,980,Outcome (Study Endpoint),systolic,model,y,,stan
257,2407872,984,996,Group Name,diltiazem SR,human,n,wrong label,stan
258,2407872,1012,1015,Group Name,3.5,human,n,wrong label,stan
259,2407872,1022,1031,Outcome (Study Endpoint),diastolic,model,y,,stan
260,2407872,1046,1054,Outcome (Study Endpoint),systolic,model,y,,stan
261,2407872,1058,1077,Group Name,hydrochlorothiazide,human,n,wrong label,stan
262,2407872,1133,1161,Outcome (Study Endpoint),achieved goal blood pressure,human,n,too little or too much based on context,stan
263,2407872,1142,1161,Outcome (Study Endpoint),goal blood pressure,model,n,too little,stan
264,2407872,1175,1194,Group Name,hydrochlorothiazide,human,n,wrong label,stan
265,2407872,1213,1225,Drug Intervention,diltiazem SR,human,n,too little or too much based on context,stan
266,2407872,1248,1259,Group Name,combination,human,n,too little,stan
267,2449384,34,76,Disease/Condition of Interest,diffuse large cell non-Hodgkin's lymphomas,model,y,,cjackson
268,2449384,53,76,Disease/Condition of Interest,non-Hodgkin's lymphomas,human,n,too little,cjackson
269,2449384,157,180,Group Characteristic,non-Hodgkin's lymphomas,model,n,wrong label,cjackson
270,2449384,208,243,Group Characteristic,mostly diffuse large cell lymphomas,human,n,wrong label,cjackson
271,2449384,336,340,Drug Intervention,CHOP,human,y,,cjackson
272,2449384,343,344,Sample Size,n,model,n,not needed,cjackson
273,2449384,358,373,Drug Intervention,COPBLAM-regimen,human,n,too much,cjackson
274,2449384,375,376,Sample Size,n,model,n,not needed,cjackson
275,2449384,608,623,Group Name,COPBLAM treated,human,y,,cjackson
276,2449384,654,666,Group Name,CHOP treated,human,n,too little,cjackson
277,2449384,693,695,Quantitative Measurement,38,model,n,too little,cjackson
278,2449384,693,704,Quantitative Measurement,38 per cent,human,y,,cjackson
279,2449384,696,707,Units,per cent CR,model,n,wrong label,cjackson
280,2449384,850,861,Quantitative Measurement,85 per cent,model,y,,cjackson
281,2449384,915,921,Units,months,model,y,,cjackson
282,2449384,927,948,Outcome (Study Endpoint),mean observation time,model,n,too much,cjackson
283,2449384,1001,1003,Quantitative Measurement,37,model,y,,cjackson
284,2449384,1011,1013,Quantitative Measurement,30,model,y,,cjackson
285,2449384,1014,1020,Units,months,model,y,,cjackson
286,2607128,16,26,Drug Intervention,fluoxetine,model,y,,hcho
287,2607128,27,37,Drug Intervention,imipramine,model,y,,hcho
288,2607128,42,49,Drug Intervention,placebo,model,n,wrong label,hcho
289,2607128,142,152,Drug Intervention,fluoxetine,human,y,,hcho
290,2607128,154,164,Drug Intervention,imipramine,human,y,,hcho
291,2607128,170,177,Group Name,placebo,model,y,,hcho
292,2607128,240,304,Outcome (Study Endpoint),greater than or equal to 50% improvement in the HAMD-total score,human,y,,hcho
293,2607128,368,370,Quantitative Measurement,86,human,n,too little,hcho
294,2607128,368,371,Quantitative Measurement,86%,model,y,,hcho
295,2607128,370,371,Units,%,human,n,wrong label,hcho
296,2607128,407,415,Outcome (Study Endpoint),improved,model,n,too little,hcho
297,2607128,430,432,Quantitative Measurement,57,human,n,too little,hcho
298,2607128,430,433,Quantitative Measurement,57%,model,y,,hcho
299,2607128,432,433,Units,%,human,n,wrong label,hcho
300,2607128,441,459,Group Name,imipramine-treated,human,n,wrong label,hcho
301,2607128,464,466,Quantitative Measurement,38,human,n,too little,hcho
302,2607128,464,467,Quantitative Measurement,38%,model,y,,hcho
303,2607128,466,467,Units,%,human,n,wrong label,hcho
304,2607128,475,482,Group Name,placebo,model,y,,hcho
305,2607128,475,490,Group Name,placebo-treated,human,n,wrong label,hcho
306,2607128,521,539,Group Name,fluoxetine-treated,human,n,wrong label,hcho
307,2607128,622,623,Quantitative Measurement,7,human,n,too little,hcho
308,2607128,622,624,Quantitative Measurement,7%,model,y,,hcho
309,2607128,623,624,Units,%,human,n,wrong label,hcho
310,2679397,15,25,Disease/Condition of Interest,stomatitis,model,y,,ccurtis
311,2679397,144,154,Intervention Administration,mouth wash,human,n,wrong label,ccurtis
312,2679397,196,207,Group Characteristic,gynecologic,model,y,,ccurtis
313,2679397,196,216,Group Characteristic,gynecologic patients,human,n,too much,ccurtis
314,2679397,254,258,Drug Intervention,5-FU,model,y,,ccurtis
315,2679397,254,263,Non-Study Drug,5-FU+CDDP,human,n,too much,ccurtis
316,2679397,259,263,Drug Intervention,CDDP,model,y,,ccurtis
317,2679397,265,267,Drug Intervention,PF,model,y,,ccurtis
318,2679397,294,305,Non-Study Drug,vincristine,human,n,wrong label,ccurtis
319,2679397,310,323,Non-Study Drug,actinomycin-D,human,n,wrong label,ccurtis
320,2679397,324,340,Drug Intervention,cyclophosphamide,model,y,wrong label,ccurtis
321,2679397,342,345,Drug Intervention,VAC,model,y,,ccurtis
322,2679397,693,694,Quantitative Measurement,5,human,n,wrong label,ccurtis
323,2679397,755,756,Quantitative Measurement,2,human,y,,ccurtis
324,2679397,801,802,Quantitative Measurement,2,human,y,,ccurtis
325,2679397,823,842,Group Name,allopurinol-treated,model,n,too little,ccurtis
326,2679397,823,848,Group Name,allopurinol-treated group,human,y,,ccurtis
327,2719459,32,43,Intervention Frequency,single-dose,human,y,not necessary/wrong label,eduvaris
328,2719459,272,283,Intervention Frequency,single-dose,human,y,not necessary/wrong label,eduvaris
329,2719459,326,329,Group Characteristic,men,human,y,,eduvaris
330,2719459,334,337,Sample Size,100,human,y,,eduvaris
331,2719459,350,384,Group Characteristic,uncomplicated gonococcal infection,human,n,wrong label,eduvaris
332,2719459,897,906,Drug Intervention,ofloxacin,human,y,,eduvaris
333,2719459,1015,1024,Drug Intervention,ofloxacin,human,y,,eduvaris
334,2719459,1074,1077,Quantitative Measurement,0.3,human,y,wrong label,eduvaris
335,2719459,1104,1107,Outcome (Study Endpoint),MIC,human,y,,eduvaris
336,2719459,1111,1122,Drug Intervention,amoxicillin,human,y,,eduvaris
337,2719459,1154,1157,Quantitative Measurement,1.0,human,y,wrong label,eduvaris
338,2719459,1193,1202,Drug Intervention,ofloxacin,human,y,,eduvaris
339,2719459,1210,1221,Drug Intervention,amoxicillin,human,y,,eduvaris
340,2719459,1227,1237,Drug Intervention,probenecid,human,y,,eduvaris
341,2853406,44,69,Disease/Condition of Interest,cardiovascular reactivity,model,y,,stan
342,2853406,74,89,Disease/Condition of Interest,type A behavior,model,y,,stan
343,2853406,297,310,Disease/Condition of Interest,hypertensives,human,n,wrong label,stan
344,2853406,479,486,Group Name,placebo,model,y,,stan
345,2853406,678,686,Group Name,diuretic,human,n,wrong label,stan
346,2853406,691,698,Group Name,placebo,human,y,,stan
347,2853406,745,752,Group Name,control,model,n,wrong label,stan
348,2853406,745,758,Group Name,control group,human,y,,stan
349,2853406,789,802,Group Name,beta-blockers,human,n,wrong label,stan
350,2853406,803,855,Outcome (Study Endpoint),reduced heart rate but not blood pressure reactivity,human,n,wrong label,stan
351,2853406,811,821,Outcome (Study Endpoint),heart rate,model,y,,stan
352,2853406,830,872,Outcome (Study Endpoint),blood pressure reactivity to mental stress,model,n,wrong label,stan
353,2853406,1034,1047,Group Name,beta-blockers,human,n,wrong label,stan
354,2853406,1055,1063,Group Name,controls,human,y,,stan
355,2853406,1156,1167,Drug Intervention,propranolol,human,y,,stan
356,2853406,1197,1205,Drug Intervention,atenolol,human,y,,stan
357,2853406,1245,1263,Outcome (Study Endpoint),became less Type A,model,n,wrong label,stan
358,2853406,1252,1263,Outcome (Study Endpoint),less Type A,human,n,wrong label,stan
359,2853406,1351,1359,Drug Intervention,atenolol,human,y,,stan
360,2853406,1453,1464,Drug Intervention,propranolol,human,y,,stan
361,2915651,118,121,Sample Size,536,model,y,,cjackson
362,2915651,136,204,Group Characteristic,undergone either a modified radical mastectomy or a total mastectomy,human,y,,cjackson
363,2915651,426,470,Group Characteristic,estrogen-receptor-negative tumor of any size,model,y,,cjackson
364,2915651,477,599,Group Characteristic,estrogen-receptor-positive tumor at least 3 cm in diameter with no histopathological evidence of axillary-node involvement,model,y,,cjackson
365,2915651,635,639,Intervention Duration,four,model,n,not needed,cjackson
366,2915651,728,745,Intervention Duration,days 1 through 14,human,y,,cjackson
367,2915651,765,767,Units,mg,human,n,too little,cjackson
368,2915651,765,784,Units,mg per square meter,model,y,,cjackson
369,2915651,802,814,Intervention Duration,days 1 and 8,human,n,not needed,cjackson
370,2915651,835,837,Units,mg,human,n,too little,cjackson
371,2915651,835,854,Units,mg per square meter,model,y,,cjackson
372,2915651,872,884,Intervention Duration,days 1 and 8,human,n,not needed,cjackson
373,2915651,936,953,Intervention Duration,days 1 through 14,human,y,,cjackson
374,2915651,1365,1378,Group Characteristic,premenopausal,model,y,,cjackson
375,2915651,1435,1461,Group Characteristic,estrogen-receptor-positive,model,y,,cjackson
376,2915651,1470,1496,Group Characteristic,estrogen-receptor-negative,model,y,,cjackson
377,2915651,1505,1552,Side Effects,Severe or life-threatening hematologic toxicity,model,n,not needed,cjackson
378,2915651,1572,1574,Quantitative Measurement,33,human,n,too little,cjackson
379,2915651,1572,1582,Quantitative Measurement,33 percent,model,y,,cjackson
380,3178370,294,301,Group Characteristic,smokers,human,y,wrong label,hcho
381,3178370,344,355,Drug Intervention,propranolol,model,y,,hcho
382,3178370,344,365,Group Name,propranolol treatment,human,n,wrong label,hcho
383,3178370,377,388,Group Name,propranolol,model,n,wrong label,hcho
384,3178370,377,396,Group Name,propranolol-treated,human,n,wrong label,hcho
